LINE, REF, QTY, EPCCS TYP,EPCCS PN,MFG@PN, DESCRIPTION, NOTES, COST EA, LINE COST,BIN
31,R1 R6 R7 R8 R14 R20 R22 R34 R35 R41 R44 R45 R46 R47 R103 R121 R123 R131 R137 R145 R149 R150 R153 R156 R164 R167 R176 R180,28,R-C,0805KX1002,YAGEO@RC0805FR-0710KL,RESISTOR CHIP 1% 10KOHM 0805,(1),0.0025,=C35*I35,ADPT
32,R2,1,R-C,0805KX2053,YAGEO@RC0805FR-07205KL,RESISTOR CHIP 1% 205KOHM 0805,(1),0.0064,=C36*I36,CC01
33,R3 R4 R5 R15 R23 R37 R39 R42 R101 R102 R104 R105 R106 R107 R108 R109 R110 R111 R112 R113 R116 R119 R120 R122 R124 R125 R126 R127 R128 R128 R130 R136 R138 R139 R151 R152 R154 R165 R166 R174 R178 R179,42,R-C,0805KX1003,YAGEO@RC0805FR-07100KL,RESISTOR CHIP 1% 100KOHM 0805,(1),0.0025,=C37*I37,IRRIGATE7
34,R9,1,R-C,0805KX1213,YAGEO@RC0805FR-07121KL,RESISTOR CHIP 1% 121KOHM 0805,(1),0.0064,=C38*I38,CC01
35,R10 R33 R118 R143 R146 R148 R159 R161 R163 R170 R173 R183 R186,13,R-C,0805KX4992,YAGEO@RC0805FR-0749K9L,RESISTOR CHIP 1% 49K9OHM 0805,(1),0.0064,=C39*I39,IRRIGATE7
36,R11,1,R-C,0805KX2002,YAGEO@RC0805FR-0720K0L,RESISTOR CHIP 1% 20KOHM 0805,(1),0.0064,=C40*I40,CC01
37,R12 R13,2,R-C,0805KX0R068,SAMSUNG@RU2012FR068CS,RESISTOR CHIP 1% 0R068OHM 0805,(7),0.0899,=C41*I41,CC03
38,R16 R30 R31 R114 R115 R132 R133 R140 R147 R177,10,R-C,0805KX182R,YAGEO@RC0805FR-07182RL,RESISTOR CHIP 1% 182OHM 0805,(1),0.0025,=C42*I42,IRRIGATE7
39,R17 R40,0,,JMP,,,,0.0,=C43*I43,NA
40,R18 R43,0,,OPEN,,,,0.0,=C44*I44,NA
41,R19,1,R-C,0805KX3163,YAGEO@RC0805FR-07316KL,RESISTOR CHIP 1% 316KOHM 0805,(1),0.0064,=C45*I45,CC01
42,R21,1,R-C,0805KX2803,YAGEO@RC0805FR-07280KL,RESISTOR CHIP 1% 280KOHM 0805,(1),0.0064,=C46*I46,CC01
43,R24,1,R-C,0805KX5621,YAGEO@RC0805FR-075K62L,RESISTOR CHIP 1% 5K62OHM 0805,(1),0.0064,=C47*I47,IRRIGATE7
44,R25,0,R-NTC,0603NTC103,MURATA@NCP18XH103J03RB,THERMISTOR B=3380 5% 10K 0603,(1),0.1244,=C48*I48,CC01
45,R26 R38,2,R-C,0805KX2003,YAGEO@RC0805FR-07200KL,RESISTOR CHIP 1% 200KOHM 0805,(1),0.0064,=C49*I49,CC03
46,R27,1,R-C,0805KX823,YAGEO@RC0805FR-07182KL,RESISTOR CHIP 1% 182KOHM 0805,(1),0.0064,=C50*I50,CC03
47,R28,1,R-C,0805KX4532,YAGEO@RC0805FR-0745K3L,RESISTOR CHIP 1% 45K3OHM 0805,(1),0.0064,=C51*I51,CC03
48,R29,1,R-C,0805KX6812,YAGEO@RC0805FR-0768K1L,RESISTOR CHIP 1% 68K1OHM 0805,(1),0.0064,=C52*I52,CC03
49,R32 R117 R169 R172 R182 R185,6,R-C,0805KX27R,YAGEO@RC0805FR-0727RL,RESISTOR CHIP 1% 27OHM 0805,(1),0.0064,=C53*I53,FTDI
50,R36,1,R-C,0805KX4323,YAGEO@RC0805FR-07432KL,RESISTOR CHIP 1% 432KOHM 0805,(1),0.0064,=C54*I54,IRRIGATE7
51,R134 R142 R160,3,R-C,0805KX32R4,YAGEO@RC0805FR-0732R4L,RESISTOR CHIP 1% 32R4OHM 0805,(1),0.0064,=C55*I55,RPUNO
52,R135 R162,2,R-C,0805KX60R4,YAGEO@RC0805FR-0760R4L,RESISTOR CHIP 1% 60R4OHM 0805,(1),0.0064,=C56*I56,RPUNO
53,R141,1,R-C,1210KX1R00,STACKPOLE@RMCF1210FT1R00,RESISTOR CHIP 1% 1OHM 1210,(1),0.0473,=C57*I57,IRRIGATE7
54,R144 R175,2,R-C,0805KX100R,YAGEO@RC0805FR-07100RL,RESISTOR CHIP 1% 100OHM 0805,(1),0.0025,=C58*I58,ADPT
55,R155,1,R-C,0805KX1582,YAGEO@RC0805FR-0715K8L,RESISTOR CHIP 1% 15K8OHM 0805,(1),0.0064,=C59*I59,IRRIGATE7
56,R157,1,R-C,0805KX8451,YAGEO@RC0805FR-078K45L,RESISTOR CHIP 1% 8K45OHM 0805,(1),0.0064,=C60*I60,IRRIGATE7
57,R158,1,R-C,0805KX4322,YAGEO@RC0805FR-0743K2L,RESISTOR CHIP 1% 43K2OHM 0805,(1),0.0064,=C61*I61,IRRIGATE7
58,R168 R171 R181 R184,4,R-C,0805KX1501,YAGEO@RC0805FR-071K5L,RESISTOR CHIP 1% 1K5OHM 0805,(1),0.0025,=C62*I62,ADPT
59,U1,1,U-BUCK,LT3652,LINEAR@LT3652EMSE,BUCK BATT CHARGE CONTROLLER 12MSOP,(1),4.36,=C63*I63,CC01
60,U2,1,U-DCDC,I50115,MURATA PS@OKI-78SR-5/1.5-W36H-C,SMPS 5V 1500MA SIP3,(1),4.23,=C64*I64,RPUNO
61,U3 U4,2,U-LINEAR,1087,DIODES@ZXCT1087E5TA,HISIDE CURRENT MONITOR SOT23-5,(1),1.367,=C65*I65,CCTEST
62,U5,1,U-LINEAR,PXVQ,TI@TPS3700DDCR,WINDOW COMPARATOR 6SOT,(1),1.6950,=C66*I66,CC01
63,U6,1,U-AVR,ATMEGA1284P-AU,ATMEL@ATMEGA1284P-AU,MCU AVR8 128KB FLASH 44TQFP,(1),5.45,=C67*I67,IRRIGATE7
64,U101 U102,2,U-7400,74HC238,TI@CD74HC238M,LOGIC 3TO8 NOT DECODER DEMUX 16SOIC,(1),0.3461,=C68*I68,PDAQ
65,U103,1,U-BOOST,MC34063A,TI@MC34063ADR,BOOST REGULATOR 3-40VIN 2-40VOUT 1.5A 8SOIC,(1),0.541,=C69*I69,IRRIGATE7
66,Y1,1,Y-XTL,16MHZ20,ECS@ECS-160-20-3X-TR,CRYSTAL 16MHZ 20PF 30PPM  CSM-3X,(1),0.3150,=C70*I70,RPUNO
67,HW1 HW2,2,HW-DINMNT,USA10-4.6,PHXCONT@1201578,DINRAIL ADAPTER UNIVERSAL 10MM 2.75MM,(1),1.13,=C71*I71,SHLD
68,,4,HW-SCREW,ZN6PSMS38,B&F@PSMS 006 0038 PH,PAN SHT MTL SCREW #6 PHP .38L ZN,(1),0.1022,=C72*I72,SHLD
69,,2,J-HDR3.5mm,PT1.5/3-PVH-3.5,PHOENIX CONTACT@1984028,CONN PLUG STRIP 3POS 3.5MM,(2),0.60,=C73*I73,SHLD
70,,=4*2,J-HDR3.5mm,PT1.5/4-PVH-3.5,PHOENIX CONTACT@1984015,CONN PLUG STRIP 2POS 3.5MM  4 SET OF 4POS,(2),0.42,=C74*I74,SHLD
71,,4,J-HDR3.5mm,PT1.5/5-PVH-3.5,PHOENIX CONTACT@1984015+1984028,CONN PLUG STRIP 2POS+3POS 3.5MM 4 SET OF 5POS,(2),=0.60+0.43,=C75*I75,SHLD
72,,=1*2,J-HDR3.5mm,PT1.5/6-PVH-3.5,PHOENIX CONTACT@1984028,CONN PLUG STRIP 3POS 3.5MM 1 SET OF 6POS,(2),0.60,=C76*I76,SHLD
73,,2,R-NTC,0805NTC104,MURATA@NCP21WF104J03RA,THERMISTOR B=4250 5% 100K 0805,(7 8 9),0.1328,=C77*I77,CC01
74,,=1/3,BOARD,OSHPARK,,PCB 2 LAYER ENIG 3 COPY,(),68.25,=C78*I78,IRRIGATE7
75,,1,LABOR,RON,,PLACE REFLOW TEST SHIP,(),0,=C79*I79,IRRIGATE7
,,,,,,,,,,
,,,,,,NOTES,,,,
,,,,,,(1) Alternate part with same or better rating allowed,,,,
,,,,,,(2) for x in (2 4 6 8): PST 1.0/x-3.5 mates with PT 1.5/x-PVH-3.5,,,,
,,,,,,(4) Cut 36 pin to needed size,,,,
,,,,,,(6) Cut 16 pin to needed size,,,,
,,,,,,(7) Alternate [MURATA@NXFT15WF104FA2B050] THERMISTOR B=4250 1% 100K BEAD,,,,
,,,,,,(8) Do not solder on circuit board,,,,
,,,,,,(9) Solder to short twist pair wire,,,,
